name,url
IO Manager,https://dis-support.thalesgroup.com/kb_view.do?sys_kb_id=9384882087332dd09e3464e70cbb35b9
DP,https://dis-support.thalesgroup.com/now/nav/ui/classic/params/target/kb_view.do%3Fsysparm_article%3DKB0175602
Exim,https://dis-support.thalesgroup.com/kb_view.do?sysparm_article=KB0174213
Gemalto PG, https://dis-support.thalesgroup.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3Dea18bd1b47a9dd103f676352e36d4333
FS Watcher, https://dis-support.thalesgroup.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3D83d6ad8047ca5d103f676352e36d4396
Process Manager: NOK Step (Recovery Console) , https://dis-support.thalesgroup.com/now/nav/ui/classic/params/target/kb_view.do%3Fsys_kb_id%3D3904955247d2ad503f676352e36d43e9
MSDP Flow, https://confluence.gemalto.com/pages/viewpage.action?pageId=1139393933
MSDP Tool and Workaround , https://confluence.gemalto.com/pages/viewpage.action?pageId=1139393941
[MSDP] Incident Management,https://confluence.gemalto.com/display/DCOP/%5BMSDP%5D+Incident+Management
[MSDP] Request Management, https://confluence.gemalto.com/display/DCOP/%5BMSDP%5D+Request+Management
[MSDP] Weekly Restart Activity, https://confluence.gemalto.com/display/DCOP/%5BMSDP%5D+Weekly+Restart+Activity
